Name,Publisher,JIF,Quartile,OA,Scope,Subjects
ANNUAL REVIEW OF PSYCHOLOGY,ANNUAL REVIEWS,29.4,Q1,No,"The Annual Review of Psychology, in publication since 1950, covers the significant developments in the field of psychology, including: biological bases of behavior, sensation and perception, cognitive processes, animal learning and behavior, human development, psychopathology, clinical and counseling psychology, social psychology, personality, environmental psychology, community psychology, and more.Join the conversation about this journal",Psychology; Psychology (miscellaneous)
INTERNATIONAL STATISTICAL REVIEW,WILEY,1.8,Q1,No,"International Statistical Review is the flagship journal of the International Statistical Institute (ISI) and of its family of Associations. It publishes papers of broad and general interest in statistics and probability. The term Review is to be interpreted broadly. The types of papers that are suitable for publication include (but are not limited to) the following: reviews/surveys of significant developments in theory, methodology, statistical computing and graphics, statistical education, and application areas; tutorials on important topics; expository papers on emerging areas of research or application; papers describing new developments and/or challenges in relevant areas; papers addressing foundational issues; papers on the history of statistics and probability; white papers on topics of importance to the profession or society; and historical assessment of seminal papers in the field and their impact.Join the conversation about this journal","Decision Sciences; Statistics, Probability and Uncertainty; Mathematics; Statistics and Probability"
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,AMER METEOROLOGICAL SOC,5.9,Q1,No,"The Bulletin of the American Meteorological Society (BAMS) is the flagship magazine of AMS and publishes articles of interest and significance for the weather, water, and climate community as well as news, editorials, and reviews for AMS members.Join the conversation about this journal",Earth and Planetary Sciences; Atmospheric Science
ATMOSPHERIC CHEMISTRY AND PHYSICS,COPERNICUS GESELLSCHAFT MBH,5.1,Q1,Yes,"Atmospheric Chemistry and Physics (ACP) is a not-for-profit international scientific journal dedicated to the publication and public discussion of high-quality studies investigating the Earth's atmosphere and the underlying chemical and physical processes. It covers the altitude range from the land and ocean surface up to the turbopause, including the troposphere, stratosphere, and mesosphere. The main subject areas comprise atmospheric modelling, field measurements, remote sensing, and laboratory studies of gases, aerosols, clouds and precipitation, isotopes, radiation, dynamics, biosphere interactions, and hydrosphere interactions. The journal scope is focused on studies with general implications for atmospheric science rather than investigations that are primarily of local or technical interest.Join the conversation about this journal",Earth and Planetary Sciences; Atmospheric Science
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,TAYLOR & FRANCIS INC,3.0,Q1,No,"Established in 1888 and published quarterly in March, June, September, and December, the Journal of the American Statistical Association ( JASA ) has long been considered the premier journal of statistical science. Articles focus on statistical applications, theory, and methods in economic, social, physical, engineering, and health sciences. Important books contributing to statistical advancement are reviewed in JASA.Join the conversation about this journal","Decision Sciences; Statistics, Probability and Uncertainty; Mathematics; Statistics and Probability"
BEHAVIOUR AND INFORMATION TECHNOLOGY,TAYLOR & FRANCIS LTD,3.1,Q2,No,"Behaviour & Information Technology (BIT) puts people before technology. As such it deviates from other related journals. It is the primary scientific venue for peer-reviewed publications on human-centred IT. BIT reports original research studies, practical case studies, and thoughtful articles on: • usability and user experience (UX) • human computer interaction (HCI) • human-centred and user-centred design • the social, business and human aspects of the digital world. The Journal attracts authors and readers from a variety of disciplines (e.g., usability, user experience, psychology, ergonomics, computer science, and sociology), originating from both academics and industry. All papers are subject to initial appraisal by the Editor, and, if found suitable for further consideration, will undertake rigorous double blind peer review by independent, anonymous expert referees.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); Computer Science; Human-Computer Interaction; Psychology; Developmental and Educational Psychology; Social Sciences; Social Sciences (miscellaneous)
MATHEMATICS AND COMPUTERS IN SIMULATION,ELSEVIER,4.4,Q1,No,"The aim of the journal is to provide an international forum for the dissemination of up-to-date information in the fields of the mathematics and computers, in particular (but not exclusively) as they apply to the dynamics of systems, their simulation and scientific computation in general. Published material ranges from short, concise research papers to more general tutorial articles. Mathematics and Computers in Simulation, published monthly, is the official organ of IMACS, the International Association for Mathematics and Computers in Simulation (Formerly AICA). This Association, founded in 1955 and legally incorporated in 1956 is a member of FIACC (the Five International Associations Coordinating Committee), together with IFIP, IFAV, IFORS and IMEKO. Topics covered by the journal include mathematical tools in: •The foundations of systems modelling •Numerical analysis and the development of algorithms for simulation They also include considerations about computer hardware for simulation and about special software and compilers. The journal also publishes articles concerned with specific applications of modelling and simulation in science and engineering, with relevant applied mathematics, the general philosophy of systems simulation, and their impact on disciplinary and interdisciplinary research. The journal includes a Book Review section -- and a ""News on IMACS"" section that contains a Calendar of future Conferences/Events and other information about the Association.Join the conversation about this journal",Computer Science; Computer Science (miscellaneous); Mathematics; Applied Mathematics; Modeling and Simulation; Numerical Analysis; Theoretical Computer Science
CLIMATIC CHANGE,SPRINGER,4.8,Q1,No,"Climatic Change is dedicated to the totality of the problem of climatic variability and change - its descriptions, causes, implications and interactions among these. The purpose of the journal is to provide a means of exchange between those working on problems related to climatic variations but in different disciplines. Interdisciplinary researchers or those in any discipline, be it meteorology, anthropology, agricultural science, astronomy, biology, chemistry, physics, geography, policy analysis, economics, engineering, geology, ecology, or history of climate, are invited to submit articles, provided the articles are of interdisciplinary interest. This means that authors have an opportunity to communicate the essence of their studies to people in other climate related disciplines and to interested non-disciplinarians, as well as to report on research in which the originality is in the combinations of (not necessarily original) work from several disciplines. The journal also includes vigorous editorial and book review sections.Join the conversation about this journal",Earth and Planetary Sciences; Atmospheric Science; Environmental Science; Global and Planetary Change
SIMULATION MODELLING PRACTICE AND THEORY,ELSEVIER,4.6,Q1,No,"The journal Simulation Modelling Practice and Theory provides a forum for original, high-quality papers dealing with any aspect of systems simulation and modelling. The journal aims at being a reference and a powerful tool to all those professionally active and/or interested in the methods and applications of simulation. Submitted papers will be peer reviewed and must significantly contribute to modelling and simulation in general or use modelling and simulation in application areas. Paper submission is solicited on: • theoretical aspects of modelling and simulation including formal modelling, model-checking, random number generators, sensitivity analysis, variance reduction techniques, experimental design, meta-modelling, methods and algorithms for validation and verification, selection and comparison procedures etc.; • methodology and application of modelling and simulation in any area, including computer systems, networks, real-time and embedded systems, mobile and intelligent agents, manufacturing and transportation systems, management, engineering, biomedical engineering, economics, ecology and environment, education, transaction handling, etc.; • simulation languages and environments including those, specific to distributed computing, grid computing, high performance computers or computer networks, etc.; • distributed and real-time simulation, simulation interoperability; • tools for high performance computing simulation, including dedicated architectures and parallel computing.Join the conversation about this journal",Computer Science; Hardware and Architecture; Software; Mathematics; Modeling and Simulation
ASIAN JOURNAL OF CONTROL,WILEY,2.7,Q2,No,"The Asian Journal of Control, an Asian Control Association (ACA) and Chinese Automatic Control Society (CACS) affiliated journal, is the first international journal originating from the Asia Pacific region. The Asian Journal of Control publishes papers on original theoretical and practical research and developments in the areas of control, involving all facets of control theory and its application. Published six times a year, the Journal aims to be a key platform for control communities throughout the world. The Journal provides a forum where control researchers and practitioners can exchange knowledge and experiences on the latest advances in the control areas, and plays an educational role for students and experienced researchers in other disciplines interested in this continually growing field. The scope of the journal is extensive. Topics include: The theory and design of control systems and components, encompassing: Robust and distributed control using geometric, optimal, stochastic and nonlinear methods Game theory and state estimation Adaptive control, including neural networks, learning, parameter estimation and system fault detection Artificial intelligence, fuzzy and expert systems Hierarchical and man-machine systems All parts of systems engineering which consider the reliability of components and systems Emerging application areas, such as: Robotics Mechatronics Computers for computer-aided design, manufacturing, and control of various industrial processes Space vehicles and aircraft, ships, and traffic Biomedical systems National economies Power systems Agriculture Natural resources.Join the conversation about this journal",Engineering; Control and Systems Engineering; Electrical and Electronic Engineering
